Modelo,Serviço,QTD (m²)
SOBRADO ACÁCIA 3Q3S,Reboco Interno,97.91
SOBRADO ACÁCIA 3Q3S,Reboco Externo,352.57
SOBRADO ACÁCIA 3Q3S,Andaime Mont.,1.0
SOBRADO ACÁCIA 3Q3S,Andaime Desm.,1.0
SOBRADO ACÁCIA 3Q3S,Friso Negativo,45.78
SOBRADO ACÁCIA 3Q3S,Chap. Ext. + Tela,352.57
SOBRADO ACÁCIA 3Q3S,Chap. Int. + Tela,97.91
SOBRADO ACÁCIA 3Q3S,Talisca Externa,352.57
SOBRADO ACÁCIA 3Q3S,Impermeabilização,46.98
SOBRADO ACÁCIA 3Q3S,Contramarco,7.0
SOBRADO ACÁCIA 3Q3S,Peitoril,7.0
SOBRADO ACÁCIA 3Q3S,Chapim Concreto,7.2
SOBRADO ACÁCIA 3Q3S,Talisca Interna,97.91
SOBRADO AZALÉIA 3Q3S,Reboco Interno,97.91
SOBRADO AZALÉIA 3Q3S,Reboco Externo,383.84
SOBRADO AZALÉIA 3Q3S,Andaime Mont.,1.0
SOBRADO AZALÉIA 3Q3S,Andaime Desm.,1.0
SOBRADO AZALÉIA 3Q3S,Friso Negativo,44.63
SOBRADO AZALÉIA 3Q3S,Chap. Ext. + Tela,383.84
SOBRADO AZALÉIA 3Q3S,Chap. Int. + Tela,97.91
SOBRADO AZALÉIA 3Q3S,Talisca Externa,383.84
SOBRADO AZALÉIA 3Q3S,Impermeabilização,52.03
SOBRADO AZALÉIA 3Q3S,Contramarco,7.0
SOBRADO AZALÉIA 3Q3S,Peitoril,7.0
SOBRADO AZALÉIA 3Q3S,Chapim Concreto,7.2
SOBRADO AZALÉIA 3Q3S,Talisca Interna,97.91
SOBRADO ACÁCIA 4QIG,Reboco Interno,107.23
SOBRADO ACÁCIA 4QIG,Reboco Externo,368.96
SOBRADO ACÁCIA 4QIG,Andaime Mont.,1.0
SOBRADO ACÁCIA 4QIG,Andaime Desm.,1.0
SOBRADO ACÁCIA 4QIG,Friso Negativo,59.66
SOBRADO ACÁCIA 4QIG,Chap. Ext. + Tela,368.96
SOBRADO ACÁCIA 4QIG,Chap. Int. + Tela,107.23
SOBRADO ACÁCIA 4QIG,Talisca Externa,368.96
SOBRADO ACÁCIA 4QIG,Impermeabilização,49.8429
SOBRADO ACÁCIA 4QIG,Contramarco,8.0
SOBRADO ACÁCIA 4QIG,Peitoril,8.0
SOBRADO ACÁCIA 4QIG,Chapim Concreto,7.2
SOBRADO ACÁCIA 4QIG,Talisca Interna,107.23
SOBRADO AZALÉIA 4QIG,Reboco Interno,107.23
SOBRADO AZALÉIA 4QIG,Reboco Externo,402.78
SOBRADO AZALÉIA 4QIG,Andaime Mont.,1.0
SOBRADO AZALÉIA 4QIG,Andaime Desm.,1.0
SOBRADO AZALÉIA 4QIG,Friso Negativo,60.77
SOBRADO AZALÉIA 4QIG,Chap. Ext. + Tela,402.78
SOBRADO AZALÉIA 4QIG,Chap. Int. + Tela,107.23
SOBRADO AZALÉIA 4QIG,Talisca Externa,402.78
SOBRADO AZALÉIA 4QIG,Impermeabilização,54.901
SOBRADO AZALÉIA 4QIG,Contramarco,8.0
SOBRADO AZALÉIA 4QIG,Peitoril,8.0
SOBRADO AZALÉIA 4QIG,Chapim Concreto,7.2
SOBRADO AZALÉIA 4QIG,Talisca Interna,107.23
TÉRREA LÍRIO,Reboco Interno,111.53
TÉRREA LÍRIO,Reboco Externo,363.96
TÉRREA LÍRIO,Andaime Mont.,1.0
TÉRREA LÍRIO,Andaime Desm.,1.0
TÉRREA LÍRIO,Friso Negativo,9.87
TÉRREA LÍRIO,Chap. Ext. + Tela,363.96
TÉRREA LÍRIO,Chap. Int. + Tela,111.53
TÉRREA LÍRIO,Talisca Externa,363.96
TÉRREA LÍRIO,Impermeabilização,53.76
TÉRREA LÍRIO,Contramarco,5.0
TÉRREA LÍRIO,Peitoril,5.0
TÉRREA LÍRIO,Chapim Concreto,7.2
TÉRREA LÍRIO,Talisca Interna,111.53
TÉRREA LÍRIO GEMINADA,Reboco Interno,118.8358
TÉRREA LÍRIO GEMINADA,Reboco Externo,330.71105
TÉRREA LÍRIO GEMINADA,Andaime Mont.,1.0
TÉRREA LÍRIO GEMINADA,Andaime Desm.,1.0
TÉRREA LÍRIO GEMINADA,Friso Negativo,8.14
TÉRREA LÍRIO GEMINADA,Chap. Ext. + Tela,330.71105
TÉRREA LÍRIO GEMINADA,Chap. Int. + Tela,118.8358
TÉRREA LÍRIO GEMINADA,Talisca Externa,330.71105
TÉRREA LÍRIO GEMINADA,Impermeabilização,
TÉRREA LÍRIO GEMINADA,Contramarco,5.0
TÉRREA LÍRIO GEMINADA,Peitoril,5.0
TÉRREA LÍRIO GEMINADA,Chapim Concreto,7.2
TÉRREA LÍRIO GEMINADA,Talisca Interna,118.8358
TÉRREA LÍRIO GEM. L/D,Reboco Interno,118.8358
TÉRREA LÍRIO GEM. L/D,Reboco Externo,342.91695
TÉRREA LÍRIO GEM. L/D,Andaime Mont.,1.0
TÉRREA LÍRIO GEM. L/D,Andaime Desm.,1.0
TÉRREA LÍRIO GEM. L/D,Friso Negativo,8.14
TÉRREA LÍRIO GEM. L/D,Chap. Ext. + Tela,342.91695
TÉRREA LÍRIO GEM. L/D,Chap. Int. + Tela,118.8358
TÉRREA LÍRIO GEM. L/D,Talisca Externa,342.91695
TÉRREA LÍRIO GEM. L/D,Impermeabilização,
TÉRREA LÍRIO GEM. L/D,Contramarco,5.0
TÉRREA LÍRIO GEM. L/D,Peitoril,5.0
TÉRREA LÍRIO GEM. L/D,Chapim Concreto,7.2
TÉRREA LÍRIO GEM. L/D,Talisca Interna,118.8358
TÉRREA LÍRIO GEM. L/E,Reboco Interno,118.8358
TÉRREA LÍRIO GEM. L/E,Reboco Externo,349.11105
TÉRREA LÍRIO GEM. L/E,Andaime Mont.,1.0
TÉRREA LÍRIO GEM. L/E,Andaime Desm.,1.0
TÉRREA LÍRIO GEM. L/E,Friso Negativo,8.14
TÉRREA LÍRIO GEM. L/E,Chap. Ext. + Tela,349.11105
TÉRREA LÍRIO GEM. L/E,Chap. Int. + Tela,118.8358
TÉRREA LÍRIO GEM. L/E,Talisca Externa,349.11105
TÉRREA LÍRIO GEM. L/E,Impermeabilização,
TÉRREA LÍRIO GEM. L/E,Contramarco,5.0
TÉRREA LÍRIO GEM. L/E,Peitoril,5.0
TÉRREA LÍRIO GEM. L/E,Chapim Concreto,7.2
TÉRREA LÍRIO GEM. L/E,Talisca Interna,118.8358
TÉRREA ORQUÍDEA,Reboco Interno,111.53
TÉRREA ORQUÍDEA,Reboco Externo,338.77
TÉRREA ORQUÍDEA,Andaime Mont.,1.0
TÉRREA ORQUÍDEA,Andaime Desm.,1.0
TÉRREA ORQUÍDEA,Friso Negativo,19.68
TÉRREA ORQUÍDEA,Chap. Ext. + Tela,338.77
TÉRREA ORQUÍDEA,Chap. Int. + Tela,111.53
TÉRREA ORQUÍDEA,Talisca Externa,338.77
TÉRREA ORQUÍDEA,Impermeabilização,53.76
TÉRREA ORQUÍDEA,Contramarco,5.0
TÉRREA ORQUÍDEA,Peitoril,5.0
TÉRREA ORQUÍDEA,Chapim Concreto,7.2
TÉRREA ORQUÍDEA,Talisca Interna,111.53
TÉRREA ORQUÍDEA GEMINADA,Reboco Interno,118.8358
TÉRREA ORQUÍDEA GEMINADA,Reboco Externo,354.5438
TÉRREA ORQUÍDEA GEMINADA,Andaime Mont.,1.0
TÉRREA ORQUÍDEA GEMINADA,Andaime Desm.,1.0
TÉRREA ORQUÍDEA GEMINADA,Friso Negativo,19.76
TÉRREA ORQUÍDEA GEMINADA,Chap. Ext. + Tela,354.5438
TÉRREA ORQUÍDEA GEMINADA,Chap. Int. + Tela,118.8358
TÉRREA ORQUÍDEA GEMINADA,Talisca Externa,354.5438
TÉRREA ORQUÍDEA GEMINADA,Impermeabilização,
TÉRREA ORQUÍDEA GEMINADA,Contramarco,5.0
TÉRREA ORQUÍDEA GEMINADA,Peitoril,5.0
TÉRREA ORQUÍDEA GEMINADA,Chapim Concreto,7.2
TÉRREA ORQUÍDEA GEMINADA,Talisca Interna,118.8358
TÉRREA ORQUÍDEA GEM. L/D,Reboco Interno,118.8358
TÉRREA ORQUÍDEA GEM. L/D,Reboco Externo,366.7497
TÉRREA ORQUÍDEA GEM. L/D,Andaime Mont.,1.0
TÉRREA ORQUÍDEA GEM. L/D,Andaime Desm.,1.0
TÉRREA ORQUÍDEA GEM. L/D,Friso Negativo,19.76
TÉRREA ORQUÍDEA GEM. L/D,Chap. Ext. + Tela,366.7497
TÉRREA ORQUÍDEA GEM. L/D,Chap. Int. + Tela,118.8358
TÉRREA ORQUÍDEA GEM. L/D,Talisca Externa,366.7497
TÉRREA ORQUÍDEA GEM. L/D,Impermeabilização,
TÉRREA ORQUÍDEA GEM. L/D,Contramarco,5.0
TÉRREA ORQUÍDEA GEM. L/D,Peitoril,5.0
TÉRREA ORQUÍDEA GEM. L/D,Chapim Concreto,7.2
TÉRREA ORQUÍDEA GEM. L/D,Talisca Interna,118.8358
TÉRREA ORQUÍDEA GEM. L/E,Reboco Interno,118.8358
TÉRREA ORQUÍDEA GEM. L/E,Reboco Externo,372.9438
TÉRREA ORQUÍDEA GEM. L/E,Andaime Mont.,1.0
TÉRREA ORQUÍDEA GEM. L/E,Andaime Desm.,1.0
TÉRREA ORQUÍDEA GEM. L/E,Friso Negativo,19.76
TÉRREA ORQUÍDEA GEM. L/E,Chap. Ext. + Tela,372.9438
TÉRREA ORQUÍDEA GEM. L/E,Chap. Int. + Tela,118.8358
TÉRREA ORQUÍDEA GEM. L/E,Talisca Externa,372.9438
TÉRREA ORQUÍDEA GEM. L/E,Impermeabilização,
TÉRREA ORQUÍDEA GEM. L/E,Contramarco,5.0
TÉRREA ORQUÍDEA GEM. L/E,Peitoril,5.0
TÉRREA ORQUÍDEA GEM. L/E,Chapim Concreto,7.2
TÉRREA ORQUÍDEA GEM. L/E,Talisca Interna,118.8358
